response,offset_task,prime,pause_trigger,offset_prime,duration_measured_task,correct_resp,task_trigger,ID,rt,duration_frames_task,delay_frames_after,trial_type,duration_measured_prime,prime_trigger,pause_trigger_t,delay_frames_before,onset_prime,task_type,onset_task,gender,age,trial_number,key_t,duration_frames_prime
l,436.6810411000042,right,34,431.71421569999075,2.9951578000036534,1,24,Group6,0.5458914999908302,180,40,right,0.03152119999867864,14,432.21415019998676,118,431.68269449999207,2,433.68588330000057,female,,77,434.2317747999914,2
l,441.047968400002,red,32,437.38066439999966,2.9952408999961335,1,22,Group6,0.5789494999917224,180,118,red,0.03129350001108833,12,437.88103879999835,40,437.34937089998857,2,438.05272750000586,female,,78,438.6316769999976,2
a,446.7148525999801,no_prime,51,443.04769989999477,2.9953179999720305,1,41,Group6,0.5790983999904711,180,118,none,0.03120999998645857,15,443.54808239999693,40,443.0164899000083,1,443.71953460000805,female,,79,444.2986329999985,2
a,453.68168290000176,blue,31,448.7146512999898,2.9952946999983396,1,21,Group6,0.49559019997832365,180,40,blue,0.031499600008828565,11,449.2147586999927,118,448.68315169998095,1,450.6863882000034,female,,80,451.18197839998174,2
l,459.3485490999883,right,34,454.3813902999973,2.9949634000076912,1,24,Group6,0.4953799000068102,180,40,right,0.030897799995727837,14,454.8816081999976,118,454.35049250000156,2,456.3535856999806,female,,81,456.8489655999874,2
a,465.01547579999897,no_prime,51,460.04840239998884,2.9952539000078104,1,41,Group6,0.5790299999935087,180,40,none,0.03112850000616163,15,460.5487000999856,118,460.0172738999827,1,462.02022189999116,female,,82,462.59925189998467,2
a,469.3823237000033,left,33,465.7154792000074,2.9951896000129636,1,23,Group6,0.5455686000059359,180,118,left,0.03138520001084544,13,466.21560039999895,40,465.68409399999655,1,466.38713409999036,female,,83,466.9327026999963,2
l,475.0492644000042,red,32,471.3820546999923,2.9953561000002082,1,22,Group6,0.3957814000023063,180,118,red,0.03128160000778735,12,471.88253579998855,40,471.3507730999845,2,472.05390830000397,female,,84,472.4496897000063,2
l,480.716050899995,no_prime,52,477.0489355000027,2.9951118000026327,1,42,Group6,0.4955533999891486,180,118,none,0.031187400018097833,15,477.5495157999976,40,477.0177480999846,2,477.7209390999924,female,,85,478.21649249998154,2
a,487.68313930000295,no_prime,51,482.716047599999,2.995316200016532,1,41,Group6,0.6789295000198763,180,40,none,0.03142889999435283,15,483.21641999998246,118,482.68461870000465,1,484.6878230999864,female,,86,485.3667526000063,2
a,493.349870200007,left,33,488.38290709999274,2.9952050000138115,1,23,Group6,0.5122835999936797,180,40,left,0.03130669999518432,13,488.8830254999921,118,488.35160039999755,1,490.3546651999932,female,,87,490.86694879998686,2
a,499.0167517999944,no_prime,51,494.04955450000125,2.9952581000106875,1,41,Group6,0.5631539000023622,180,40,none,0.031168100016657263,15,494.5498602000007,118,494.0183863999846,1,496.0214936999837,female,,88,496.58464759998606,2
a,503.3836700999818,blue,31,499.7164211999916,2.995387499977369,1,21,Group6,0.5631096999859437,180,118,blue,0.031144300010055304,11,500.21684799998184,40,499.68527689998155,1,500.38828260000446,female,,89,500.9513922999904,2
a,510.3505360999843,left,33,505.3837009999843,2.9951634999888483,1,23,Group6,0.5790003000001889,180,40,left,0.030456399981630966,13,505.88371639998513,118,505.35324460000265,1,507.35537259999546,female,,90,507.93437289999565,2
l,516.0174053999945,red,32,511.0502485999896,2.995353400008753,1,22,Group6,0.462657299998682,180,40,red,0.031235700007528067,12,511.5504639999999,118,511.01901289998204,2,513.0220519999857,female,,91,513.4847092999844,2
l,521.6842905000085,right,34,516.717627200007,2.995168300025398,1,24,Group6,0.545644199999515,180,40,right,0.031498199998168275,14,517.2174718999886,118,516.6861290000088,2,518.6891221999831,female,,92,519.2347663999826,2
l,527.3513962999859,no_prime,52,522.3840743000037,2.995315299980575,1,42,Group6,0.5122713999880943,180,40,none,0.03118059999542311,15,522.88440119999,118,522.3528937000083,2,524.3560810000054,female,,93,524.8683523999935,2
l,531.7180572999932,right,34,528.0512313999934,2.9952654000080656,1,24,Group6,0.5456666999962181,180,118,right,0.031483400001889095,14,528.5512689999887,40,528.0197479999915,2,528.7227918999852,female,,94,529.2684585999814,2
l,537.3851075999846,no_prime,52,533.7177110000048,2.9951949999958742,1,42,Group6,0.49543979999725707,180,118,none,0.031065500021213666,15,534.2180140999844,40,533.6866454999836,2,534.3899125999887,female,,95,534.885352399986,2
a,544.3518802000035,no_prime,51,539.3845825000026,2.9952837000018917,1,41,Group6,0.6290608999843244,180,40,none,0.030981100018834695,15,539.8855588999868,118,539.3536013999837,1,541.3565965000016,female,,96,541.9856573999859,2
a,550.0187195999897,left,33,545.051835899998,2.995203099999344,1,23,Group6,0.545671100000618,180,40,left,0.031370800017612055,13,545.5519895000034,118,545.0204650999804,1,547.0235164999904,female,,97,547.569187599991,2
l,555.6856098999851,no_prime,52,550.7184924999892,2.994945899990853,1,42,Group6,0.5621034000068903,180,40,none,0.03133100000559352,15,551.2188982999942,118,550.6871614999836,2,552.6906639999943,female,,98,553.2527674000012,2
l,561.3525941999978,red,32,556.3854191999999,2.9952689000056125,1,22,Group6,0.6456007999950089,180,40,red,0.03152509999927133,12,556.8855451999989,118,556.3538941000006,2,558.3573252999922,female,,99,559.0029260999872,2
a,567.0193538999883,blue,31,562.0522620999836,2.9953138999990188,1,21,Group6,0.6125306000176352,180,40,blue,0.03141279998817481,11,562.552518099983,118,562.0208492999955,1,564.0240399999893,female,,100,564.636570600007,2
a,571.3862320999906,blue,31,567.7190362999972,2.995198899996467,1,21,Group6,0.4957812000066042,180,118,blue,0.031316000007791445,11,568.2193492999941,40,567.6877202999895,1,568.3910331999941,female,,101,568.8868144000007,2
a,577.0532062999846,left,33,573.3861994000035,2.9952765999769326,1,23,Group6,0.645641599985538,180,118,left,0.03130070000770502,13,573.8864792999811,40,573.3548986999958,1,574.0579297000077,female,,102,574.7035712999932,2
l,584.0200050999993,red,32,579.0529166999913,2.995356300001731,1,22,Group6,0.46251730000949465,180,40,red,0.03150340000865981,12,579.5531571999891,118,579.0214132999827,2,581.0246487999975,female,,103,581.487166100007,2
a,589.6869357999822,left,33,584.7199628999806,2.995206599996891,1,23,Group6,0.46248000001651235,180,40,left,0.031461199978366494,13,585.2201553999912,118,584.6885017000022,1,586.6917291999853,female,,104,587.1542092000018,2
l,594.0539024999889,right,34,590.3866220999917,2.9952633999928366,1,24,Group6,0.4621311000082642,180,118,right,0.031199999997625127,14,590.8868931999896,40,590.355422099994,2,591.0586390999961,female,,105,591.5207702000043,2
a,599.7206914999988,no_prime,51,596.0536000999855,2.995223600009922,1,41,Group6,0.5456627999956254,180,118,none,0.03120420000050217,15,596.5538018000079,40,596.022395899985,1,596.7254678999889,female,,106,597.2711306999845,2
a,605.3874941999966,blue,31,601.7203773999936,2.9952971000166144,1,21,Group6,0.92912470002193,180,118,blue,0.031297999987145886,11,602.2207423000073,40,601.6890794000064,1,602.39219709998,female,,107,603.3213218000019,2
l,611.0544739000034,no_prime,52,607.3872640999907,2.9952331999957096,1,42,Group6,0.6456004999927245,180,118,none,0.031069999997271225,15,607.8879075000004,40,607.3561940999934,2,608.0592407000076,female,,108,608.7048412000004,2
l,616.7214437999937,red,32,613.05422369999,2.995464000006905,1,22,Group6,0.42906769999535754,180,118,red,0.0314117000089027,12,613.5545318000077,40,613.0228119999811,2,613.7259797999868,female,,109,614.1550474999822,2
a,622.3881611999823,blue,31,618.7210181999835,2.99512069998309,1,21,Group6,0.5789387999975588,180,118,blue,0.03153179999208078,11,619.2214354999887,40,618.6894863999914,1,619.3930404999992,female,,110,619.9719792999967,2
l,629.3549596999947,no_prime,52,624.3878154999984,2.995184800005518,1,42,Group6,0.46265020000282675,180,40,none,0.031175400014035404,15,624.8885517999879,118,624.3566400999844,2,626.3597748999891,female,,111,626.822425099992,2
l,635.0220120000013,red,32,630.0547838000057,2.995348299999023,1,22,Group6,0.4958041000063531,180,40,red,0.031356100022094324,12,630.5552084000083,118,630.0234276999836,2,632.0266637000022,female,,112,632.5224678000086,2
a,639.3888441000017,left,33,635.722036799998,2.995196900010342,1,23,Group6,0.5304643000126816,180,118,left,0.031511500012129545,13,636.2220018999942,40,635.6905252999859,1,636.3936471999914,female,,113,636.9241115000041,2
l,646.3558876999887,right,34,641.3889497999917,2.995354499988025,1,24,Group6,0.4790225999895483,180,40,right,0.03156979999039322,14,641.8890228999953,118,641.3573800000013,2,643.3605332000006,female,,114,643.8395557999902,2
a,650.7226038000081,left,33,647.0558667999867,2.9951913000259083,1,23,Group6,0.5622574000153691,180,118,left,0.031476000003749505,13,647.5558773000084,40,647.0243907999829,1,647.7274124999822,female,,115,648.2896698999975,2
a,656.3894904000044,no_prime,51,652.7224349000026,2.9952550000161864,1,41,Group6,0.6456907000101637,180,118,none,0.03121159999864176,15,653.2227146000077,40,652.6912233000039,1,653.3942353999882,female,,116,654.0399260999984,2
l,663.356709899992,no_prime,52,658.3893371000013,2.9954654999892227,1,42,Group6,0.6789367999881506,180,40,none,0.03093870001612231,15,658.8896513000072,118,658.3583983999852,2,660.3612444000028,female,,117,661.0401811999909,2
l,667.7232287999941,no_prime,52,664.056076000008,2.995276100002229,1,42,Group6,0.5457088999974076,180,118,none,0.031108800001675263,15,664.5565575000073,40,664.0249672000064,2,664.7279526999919,female,,118,665.2736615999893,2
l,673.3901672000065,red,32,669.7229919999954,2.9949831000121776,1,22,Group6,1.2621765999938361,180,118,red,0.03149439999833703,12,670.2233261000074,40,669.6914975999971,2,670.3951840999944,female,,119,671.6573606999882,2
a,679.0571256999974,left,33,675.3901027999818,2.994593800016446,1,23,Group6,0.6616415000171401,180,118,left,0.031156899989582598,13,675.8902585000033,40,675.3589458999922,1,676.062531899981,female,,120,676.7241733999981,2
